address,company,detail,position
北京,"
美菜网
",本科以上 | 3-5年 | 全职 | 20000-35000元,大数据开发工程师
北京,"
美菜网
",3-5年 | 全职 | 30-60万,技术专家
北京,"
美菜网
",本科以上 | 5-10年 | 全职 | 40000-45000,PHP
北京,"
美菜网
",5-10年 | 全职 | 24000-40000,android开发工程师
北京,"
慢点富基金
",大专以上 | 1-3年 | 全职 | 8000-9000,团队经理
北京,"
慢点富基金
",大专以上 | 3-5年 | 全职 | 10000-15000,营销总监
北京,"
慢点富基金
",中技以上 | 全职 | 3000-8000,财富管理师
苏州,"
慢点富基金
",大专以上 | 全职 | 4000-9000,客户经理
北京,"
慢点富基金
",大专以上 | 1-3年 | 全职 | 5000-10000,高级财富管理师
北京,"
慢点富基金
",本科以上 | 5年以上 | 全职 | 40-70万,人力资源经理
深圳,"
京东
",1年以下 | 实习 | 3000-4000元,营销策划实习生
北京,"
京东
",本科以上 | 3-5年 | 全职 | 10000-20000元,服务评估岗
北京,"
京东
",本科以上 | 3-5年 | 全职 | 15000-25000元,资源运营管理工程师--iaas
北京,"
京东
",本科以上 | 3-4年工作经验 | 全职 | 2-4万/月,京东安联保险-战略分析岗
北京,"
京东
",本科以上 | 3-5年 | 全职 | 20000-40000元,京东安联保险-法律顾问岗
北京,"
京东
",本科以上 | 5-10年 | 全职 | 20000-40000元,京东安联保险-招聘岗
北京,"
京东
",本科以上 | 5-10年 | 全职 | 20000-40000元,京东安联保险-薪酬绩效岗
佛山,"
京东
",全职 | 4.5-5千/月,京东物流5000包住五险一金
北京,"
京东
",本科以上 | 3-5年 | 全职 | 20000-40000元,系统集成测试工程师
北京,"
京东
",本科以上 | 5-10年 | 全职 | 20000-40000元,京东云生态高级产品经理-整合方案部
北京,"
京东
",本科以上 | 5-10年 | 全职 | 20000-40000元,运维开发工程师岗
北京,"
京东
",本科以上 | 5-10年 | 全职 | 15000-30000元,仓储规划经理
北京,"
京东
",本科以上 | 5-10年 | 全职 | 20000-35000元,招聘管理岗
北京,"
京东
",本科以上 | 10年以上 | 全职 | 40000-70000元,HRBP负责人
深圳,"
京东
",本科以上 | 3-5年 | 全职 | 15000-30000元,流量拓展运营岗
北京,"
华谊兄弟
",本科以上 | 3-5年 | 全职 | 10000-20000元,HRBP
北京,"
华谊兄弟
",本科以上 | 全职 | 8000-15000,经纪人
沈阳,"
华谊兄弟
",大专以上 | 5-7年工作经验 | 全职 | 0.8-1.2万/月,影院店长
北京,"
华谊兄弟
",本科以上 | 全职 | 5000-7000,执行经纪人
北京,"
华谊兄弟
",全职 | 2.5-3万/月,培训经理
昆明,"
华谊兄弟
",大专以上 | 全职 | 2.8-3.2千/月,放映员
北京,"
华谊兄弟
",本科以上 | 1-3年 | 全职 | 4000-6000,发行城市经理
金华,"
华谊兄弟
",大专以上 | 1-3年 | 全职 | 4000-6000,发行城市经理
哈尔滨,"
华谊兄弟
",本科以上 | 1-3年 | 全职 | 4000-6000,发行城市经理
北京,"
华谊兄弟
",全职 | 4.5-6千/月,资金会计
昆明,"
华谊兄弟
",高中以上 | 全职 | 2.2-2.8千/月,服务员
北京,"
华谊兄弟
",本科以上 | 4年以上 | 全职 | 40-70万,legal Counsel
济南,"
华谊兄弟
",本科以上 | 5-7年工作经验 | 全职 | 1.5-2.5万/月,建筑设计经理
上海,"
华谊兄弟
",本科以上 | 5年以上 | 全职 | 50-70万,Legal director
昆明,"
华谊兄弟
",高中以上 | 全职 | 3.5-4.2千/月,营运主管
郑州,"
永杰友信
",本科以上 | 1-3年 | 全职 | 7000-8000,.NET
深圳,"
华大基因
",本科以上 | 5年以上 | 全职 | 18-30万,国际注册与合规高级经理
武汉,"
华大基因
",本科以上 | 5年以上 | 全职 | 10-12万,仓库主管
深圳,"
华大基因
",本科以上 | 3年以上 | 全职 | 24-36万,网络安全高级工程师
武汉,"
华大基因
",硕士以上 | 5年以上 | 全职 | 12-16万,研发工程师
深圳,"
华大基因
",本科以上 | 3-4年工作经验 | 全职 | 1.5-2万/月,市场经理
深圳,"
华大基因
",本科以上 | 3年以上 | 全职 | 10-16万,风控经理
南京,"
华大基因
",大专以上 | 5年以上 | 全职 | 30-36万,区域负责人
武汉,"
华大基因
",本科以上 | 3-4年工作经验 | 全职 | 5-8千/月,SEO搜索引擎优化工程师
深圳,"
华大基因
",本科以上 | 3年以上 | 实习 | 16-22万,生物信息研究员
深圳,"
华大基因
",硕士以上 | 3年以上 | 实习 | 25-35万,生物技术研究员
深圳,"
华大基因
",本科以上 | 实习 | 1.8-3.5千/月,实习生-运营管理
深圳,"
华大基因
",本科以上 | 5-7年工作经验 | 实习 | 1.2-2.4万/月,软件开发工程师
深圳,"
华大基因
",全职 | 1-1.5万/月,营养师
深圳,"
华大基因
",硕士以上 | 10年以上 | 全职,仪器开发经理
深圳,"
华大基因
",本科以上 | 3年以上 | 全职,HRBP大生产
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 25000-50000,PCG12-灯塔web前端高级开发工程师
深圳,"
腾讯
",本科以上 | 1-3年 | 全职 | 25000-50000,PCG12-Web前端安全开发
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 20000-30000,腾讯音乐web开发工程师
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 15000-25000,腾讯音乐IOS开发工程师
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 17000-30000,腾讯音乐Android开发工程师
北京,"
腾讯
",本科以上 | 3-5年 | 全职 | 18000-35000,短视频产品数据研发工程师
北京,"
腾讯
",本科以上 | 3-5年 | 全职 | 15000-30000,企鹅号平台产品经理
北京,"
腾讯
",本科以上 | 3-5年 | 全职 | 15000-30000,企鹅号产品 内容运营经理
成都,"
腾讯
",大专以上 | 全职 | 6-8千/月,腾讯视频内容运营编辑
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 20000-21000,PCG10-浏览器前端开发
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 15000-30000,GY0-JOOX Web开发工程师
北京,"
腾讯
",本科以上 | 5-10年 | 全职 | 40000-70000,云存储资深研发工程师
武汉,"
腾讯
",大专以上 | 1-3年 | 全职 | 8000-16000元,腾讯教育科技-课程顾问
武汉,"
腾讯
",本科以上 | 3-5年 | 全职 | 10000-20000元,腾讯教育科技有限公司师训主管
武汉,"
腾讯
",本科以上 | 3-5年 | 全职 | 10000-20000元,腾讯教育科技有限公司选聘主管
深圳,"
大疆
",本科以上 | 3-5年 | 全职 | 15000-25000,HRBP
深圳,"
大疆
",本科以上 | 全职 | 1.2-1.8万/月,高级质量运营专员
深圳,"
大疆
",本科以上 | 0-2年 | 全职 | 1.5-3.6万/月,中级测试开发工程师
深圳,"
大疆
",本科以上 | 5-7年工作经验 | 全职 | 1.5-3万/月,高级测试开发工程师
深圳,"
大疆
",本科以上 | 2年工作经验 | 全职 | 1.5-3万/月,测试开发工程师
深圳,"
大疆
",本科以上 | 5-7年工作经验 | 全职 | 2.5-3.5万/月,工程经理
深圳,"
大疆
",全职 | 1-1.2万/月,总经办管培生
深圳,"
大疆
",大专以上 | 1-3年 | 全职 | 12000-18000元,全球大客户服务专员
深圳,"
大疆
",本科以上 | 3-5年 | 全职 | 16000-22000元,全球大客户服务主管
深圳,"
大疆
",本科以上 | 2年工作经验 | 全职 | 1.5-2.5万/月,Corporate Counsel Senior Corporate Counsel
深圳,"
大疆
",本科以上 | 3-4年工作经验 | 全职 | 1.2-2万/月,产品结构工程师
深圳,"
大疆
",本科以上 | 2年工作经验 | 全职 | 1.2-2.4万/月,监察专员
深圳,"
大疆
",大专以上 | 全职 | 1.2-2.4万/月,安全运维工程师
深圳,"
大疆
",1年工作经验 | 全职 | 1.5-3万/月,系统运维工程师
上海,"
大疆
",本科以上 | 2年工作经验 | 全职 | 2.5-5万/月,系统安全工程师
无锡,"
华奥汽车
",大专以上 | 1-3年 | 全职 | 4000-7000,技术顾问 无锡
无锡,"
华奥汽车
",高中以上 | 全职 | 8000-13000,销售代表
深圳,"
华奥汽车
",大专以上 | 1-3年 | 全职 | 6000-11000,汽车售后服务
南通,"
华奥汽车
",本科以上 | 3-5年 | 全职 | 8000-16000,汽车质保销售
南通,"
华奥汽车
",本科以上 | 3-5年 | 全职 | 8000-16000,汽车延保销售顾问
南通,"
华奥汽车
",本科以上 | 3-5年 | 全职 | 8000-13000,服务顾问SA
济南,"
华奥汽车
",全职 | 6000-11000,会员经理
潍坊,"
华奥汽车
",大专以上 | 1-3年 | 全职 | 5000-10000,销售经理
长春,"
华奥汽车
",大专以上 | 应届毕业生 | 全职 | 4000-8000,汽车延保销售 销售代表 驻4S店销售
长春,"
华奥汽车
",高中以上 | 应届毕业生 | 全职 | 3000-8000,销售顾问 销售代表 驻4S店销售
长春,"
华奥汽车
",大专以上 | 应届毕业生 | 全职 | 4000-8000,销售顾问
杭州,"
华奥汽车
",大专以上 | 1年以内 | 全职 | 4000-6000,人事专员
武汉,"
华奥汽车
",高中以上 | 应届毕业生 | 全职 | 0.7-2万/月,客户经理
南通,"
华奥汽车
",本科以上 | 3-5年 | 全职 | 8000-13000,销售代表顾问
南通,"
华奥汽车
",大专以上 | 3-5年 | 全职 | 8000-13000,销售经理 客户经理
北京,"
华为
",本科以上 | 3-5年 | 全职 | 20000-40000元,大数据开发工程师
西安,"
华为
",本科以上 | 3年以上 | 全职 | 18-36万,大数据开发工程师
西安,"
华为
",本科以上 | 3年以上 | 全职 | 18-36万,大数据测试工程师
深圳,"
华为
",本科以上 | 3-5年 | 全职 | 15000-30000元,大数据开发工程师-深圳
南京,"
华为
",本科以上 | 3-5年 | 全职 | 15000-30000元,大数据开发工程师-南京
北京,"
华为
",3-5年 | 全职 | 15000-30000元,大数据开发工程师-北京
西安,"
华为
",本科以上 | 3-5年 | 全职 | 15000-30000元,大数据开发工程师-西安
南京,"
华为
",本科以上 | 3-5年 | 全职 | 20000-40000,网络安全工程师
苏州,"
华为
",本科以上 | 5-10年 | 全职 | 20000-40000,云计算研发工程师
西安,"
华为
",本科以上 | 5-10年 | 全职 | 13000-20000元,大屏产品整机架构师
呼和浩特,"
华为
",本科以上 | 1-3年 | 全职 | 5000-10000,渠道销售
杭州,"
华为
",本科以上 | 5-10年 | 全职 | 15000-30000,测试工程师
杭州,"
华为
",本科以上 | 3-5年 | 全职 | 20000-40000,云计算高级研发工程师
成都,"
华为
",本科以上 | 3-5年 | 全职 | 15000-30000元,Web前端开发工程师
